股票,代码,行业,alpha,alpha_pvalue,beta,beta_ci_low,beta_ci_high,r_squared
比亚迪,002594,汽车,0.001075005888672118,0.0619083068437643,1.2746062139566292,1.17936096598499,1.3698514619282685,0.3095369245134848
中兴通讯,000063,通讯,-4.049630589298672e-05,0.9434406254962933,1.2470949932067836,1.1526361214105791,1.3415538650029881,0.30392151555598146
长城汽车,601633,汽车,0.0004282491321951655,0.4947637957698402,1.1751519317642427,1.071348255767233,1.2789556077612525,0.24289783104673568
五粮液,000858,白酒,-0.0002099197969957401,0.5648345825008277,1.168443459669648,1.1080952747534485,1.2287916445858476,0.4841138015533475
贵州茅台,600519,白酒,0.00010229513756553093,0.7413661217903174,0.8933672468630389,0.8420709107270561,0.9446635829990218,0.4315811152410317
平安银行,000001,银行,-0.00023945450915468323,0.4807267834320892,0.8555684398686516,0.799369503767399,0.9117673759699042,0.3671591761958243
招商银行,600036,银行,3.286556891717271e-05,0.9115865524803862,0.7489167192493382,0.6999295601317914,0.797903878366885,0.36911372732965775
中国石油,601857,能源,0.0005370531150232841,0.23352173800687373,0.4461388785414565,0.37154646836759125,0.5207312887153217,0.08218847896975678
中国移动,600941,通讯,0.0006272761368914732,0.1849681952758646,0.2981039369245191,0.21534419464237106,0.3808636792066671,0.04541711018748462
长江电力,600900,能源,0.00030783468181395983,0.2697805496839808,0.2244574777771437,0.178387378653079,0.27052757690120843,0.05646983229038782
